Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Docusign inc,DOCU,"",752146.0,161892000.0,0.962209,0.0308,34,735504.0,4419.564956,addition,0.4062034,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2020,212.5364,244.93
Sea ltd adr,SE,"",1004874.0,154791000.0,0.920004,0.2796,35,762438.0,314.490422,addition,0.2060274,Q4 2019,INFORMATION TECHNOLOGY,13F,09/30/2020,128.4906,193.18
Stratasys ltd,SSYS,"",12070385.0,150518000.0,0.894607,1.9259,36,780340.0,6.911753,addition,21.9341904,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,18.7836,21.61
Tencent holdings ltd adr,TCEHY,"",2217845.0,150037000.0,0.891748,0.6026,37,1342451.0,153.353918,addition,0.0231458,Q3 2017,COMMUNICATIONS,13F,09/30/2020,62.1044,69.75
Zscaler inc,ZS,"",1030864.0,145032000.0,0.862001,0.92,38,249725.0,31.969342,addition,0.7756320,Q4 2019,INFORMATION TECHNOLOGY,13F,09/30/2020,110.3875,205.27
Intercontinental exchange inc,ICE,"",1442504.0,144323000.0,0.857787,0.0593,39,1382352.0,2298.098151,addition,0.2570171,Q1 2018,FINANCE,13F,09/30/2020,99.4654,112.69
Synopsys inc.,SNPS,"",631126.0,135048000.0,0.802661,0.1981,40,536678.0,568.225902,addition,0.4158665,Q1 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,205.0758,256.28
Iridium communications inc,IRDM,"",4400942.0,112576000.0,0.669098,0.8951,41,1129751.0,34.536381,addition,3.3207944,Q3 2019,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,24.3387,39.05
Nintendo co ltd. sponsored adr,NTDOY,"",1557294.0,110412000.0,0.656236,,42,1557294.0,,new,0.1634115,Q3 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,70.9,78.58
Arcturus therapeutics ltd,ARCT,"",2495842.0,107072000.0,0.636385,0.9646,43,577007.0,30.070694,addition,10.2338199,Q2 2019,HEALTH CARE,13F,09/30/2020,22.9262,98.13
Syros pharmaceuticals inc,SYRS,"",11212506.0,99119000.0,0.589116,0.9761,44,2699373.0,31.708338,addition,24.5016927,Q4 2016,HEALTH CARE,13F,09/30/2020,9.3411,13.08
Personalis inc,PSNL,"",3947392.0,97619004.16,0.580201,0.4232,45,654251.0,19.867081,addition,12.3802633,,HEALTH CARE,13G,10/31/2020,,41.49
Mercadolibre inc,MELI,"",77799.0,84216000.0,0.50054,0.5229,46,28476.0,57.733714,addition,0.1565059,Q4 2016,COMMUNICATIONS,13F,09/30/2020,739.0024,1690.48
Unity software inc.,U,"",890404.0,77714000.0,0.461895,,47,890404.0,,new,0.3380852,Q3 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,,164.92
Cellectis s.a. adr,CLLS,"",4863775.0,77382660.25,0.459926,0.4537,48,728692.0,17.622186,addition,11.4479117,,HEALTH CARE,13G,10/31/2020,,30.4
Amazon.com inc.,AMZN,"",24266.0,76407000.0,0.454127,0.527,49,6504.0,36.617498,addition,0.0048446,Q4 2016,CONSUMER DISCRETIONARY,13F,09/30/2020,2028.017,3172.69
Alibaba group holding ltd adr,BABA,"",257372.0,75662000.0,0.449699,0.3562,50,103814.0,67.605726,addition,0.0095124,Q4 2016,COMMUNICATIONS,13F,09/30/2020,227.9739,222.0
Caredx inc,CDNA,"",1859227.0,70539000.0,0.41925,0.4861,51,583725.0,45.764334,addition,3.7971421,Q2 2019,HEALTH CARE,13F,09/30/2020,31.4707,76.23
Snap inc class a,SNAP,"",2621392.0,68445000.0,0.406804,0.4824,52,712028.0,37.29137,addition,0.1784206,Q3 2019,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,20.283,50.15
Fate therapeutics inc,FATE,"",1439970.0,57556000.0,0.342085,0.3763,53,420140.0,41.197062,addition,1.6581105,Q2 2019,HEALTH CARE,13F,09/30/2020,30.2885,99.5
Grayscale bitcoin trust (btc),GBTC,"",5170460.0,56720000.0,0.337117,0.3815,54,1477865.0,40.022396,addition,No Data,Q3 2017,FINANCE,13F,09/30/2020,7.542,27.35
Exact sciences corp,EXAS,"",529196.0,53952000.0,0.320665,,55,529196.0,,new,0.3524042,Q3 2020,HEALTH CARE,13F,09/30/2020,101.95,139.56
Jd.com inc adr,JD,"",692704.0,53761000.0,0.31953,0.0987,56,540188.0,354.184479,addition,0.0445428,Q3 2017,CONSUMER DISCRETIONARY,13F,09/30/2020,70.6194,84.49
Incyte corporation,INCY,"",579326.0,51989000.0,0.308998,0.3721,57,246548.0,74.08783,addition,0.2648964,Q4 2016,HEALTH CARE,13F,09/30/2020,89.2288,87.37
The exone co,XONE,"",4062980.0,49650000.0,0.295096,0.2968,58,835326.0,25.880283,addition,21.4448665,Q4 2016,COMMUNICATIONS,13F,09/30/2020,9.4872,10.85
Nvidia corp.,NVDA,"",87264.0,47229000.0,0.280707,0.2464,59,26967.0,44.723618,addition,0.0141269,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,277.6141,519.75
Paypal holdings inc,PYPL,"",225157.0,44363000.0,0.263673,0.3078,60,60928.0,37.099416,addition,0.0191901,Q4 2016,COMMUNICATIONS,13F,09/30/2020,135.7168,238.64
Adaptive biotechnologies corp,ADPT,"",884722.0,43024000.0,0.255714,0.1609,61,575584.0,186.189986,addition,0.6515190,Q2 2020,HEALTH CARE,13F,09/30/2020,48.5426,62.53
Netflix inc,NFLX,"",84439.0,42222000.0,0.250947,0.1674,62,50244.0,146.933762,addition,0.0191465,Q4 2016,COMMUNICATIONS,13F,09/30/2020,398.3752,513.97
Salesforce.com inc.,CRM,"",144644.0,36352000.0,0.216059,0.2698,63,10757.0,8.034387,addition,0.0158949,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,133.9037,225.78
Lendingclub corp,LC,"",7487851.0,35268000.0,0.209616,0.1824,64,3759818.0,100.852594,addition,10.4702586,Q4 2016,FINANCE,13F,09/30/2020,38.8047,8.82
The trade desk inc class a,TTD,"",66201.0,34344000.0,0.204124,0.1602,65,29564.0,80.69438,addition,0.1416141,Q3 2019,COMMUNICATIONS,13F,09/30/2020,372.9979,931.77
Crowdstrike holdings inc,CRWD,"",236572.0,32486000.0,0.193081,0.1439,66,103145.0,77.304444,addition,0.1078028,Q2 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,116.435,221.12
Twitter inc,TWTR,"",665508.0,29615000.0,0.176017,0.1363,67,240226.0,56.486284,addition,0.0841404,Q4 2016,COMMUNICATIONS,13F,09/30/2020,34.6844,53.97
Hubspot inc,HUBS,"",100945.0,29499000.0,0.175328,0.2099,68,13956.0,16.043408,addition,0.2215449,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,177.9883,414.76
10x genomics inc,TXG,"",231097.0,28813000.0,0.171251,0.3233,69,-105456.0,-31.334144,reduction,0.2214445,Q2 2020,HEALTH CARE,13F,09/30/2020,89.31,151.33
Apple inc,AAPL,"",229924.0,26627000.0,0.158258,0.4066,70,-184596.0,-44.532471,reduction,0.0013262,Q1 2017,INFORMATION TECHNOLOGY,13F,09/30/2020,13.86,131.97
Vertex pharmaceuticals  inc.,VRTX,"",97352.0,26491000.0,0.15745,,71,97352.0,,new,0.0373759,Q3 2020,HEALTH CARE,13F,09/30/2020,272.12,234.46
Adyen unsponsored netherl 50 adr representing 1 ord shs,ADYEY,"",708698.0,26257000.0,0.156059,0.0132,72,666698.0,1587.37619,addition,0.0468523,Q2 2020, ,13F,09/30/2020,,
Guardant health inc,GH,"",234021.0,26159000.0,0.155477,0.4001,73,-224531.0,-48.965221,reduction,0.2353761,Q2 2019,HEALTH CARE,13F,09/30/2020,79.05,133.79
Adyen nv,ADYYF,"",13722.0,25294000.0,0.150335,0.0706,74,9216.0,204.527297,addition,0.0453584,Q1 2019,FINANCE,13F,09/30/2020,1563.7814,2420.0
Atlassian corp plc,TEAM,"",136738.0,24858000.0,0.147744,0.1453,75,61823.0,82.524194,addition,0.0552594,Q4 2018,INFORMATION TECHNOLOGY,13F,09/30/2020,153.4376,241.79
Adobe systems  inc.,ADBE,"",50608.0,24820000.0,0.147518,0.1895,76,10140.0,25.056835,addition,0.0105495,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,338.2512,499.86
Schrodinger  inc.,SDGR,"",517035.0,24564000.0,0.145997,0.1532,77,361519.0,232.464184,addition,0.7486662,Q2 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,60.7626,83.95
Teradyne inc,TER,"",307698.0,24450000.0,0.145319,1.5938,78,-1445697.0,-82.451302,reduction,0.1853241,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,65.12,118.88
Okta inc,OKTA,"",114015.0,24382000.0,0.144915,0.1326,79,52438.0,85.15842,addition,0.0890128,Q2 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,206.4941,275.6
Trimble navigation ltd.,TRMB,"",493639.0,24040000.0,0.142882,0.1183,80,238951.0,93.821067,addition,0.1972853,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,42.7409,66.65
Ionis phrmacutls,IONS,"",502560.0,23846000.0,0.141729,0.2182,81,158429.0,46.03741,addition,0.3597500,Q4 2016,HEALTH CARE,13F,09/30/2020,53.4622,59.68
Deere & co.,DE,"",107456.0,23815000.0,0.141545,0.075,82,63083.0,142.165281,addition,0.0342899,Q3 2017,INDUSTRIALS,13F,09/30/2020,192.7365,269.21
Accolade  inc.,ACCD,"",593584.0,23073000.0,0.137135,,83,593584.0,,new,1.2078564,Q3 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,38.87,52.42
Castle biosciences inc,CSTL,"",447725.0,23035000.0,0.136909,0.1921,84,-26045.0,-5.497393,reduction,2.2747762,Q3 2019,HEALTH CARE,13F,09/30/2020,30.3,71.31
Alphabet inc. class c,GOOG,"",14849.0,21822000.0,0.1297,0.0466,85,11784.0,384.469821,addition,0.0021832,Q2 2020,COMMUNICATIONS,13F,09/30/2020,1458.043,1738.85
Byd co ltd adr,BYDDY,"",665516.0,21463000.0,0.127566,,86,665516.0,,new,0.0487889,Q3 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,32.25,48.9
Kratos defense & security solutions inc,KTOS,"",1106685.0,21337000.0,0.126817,0.0939,87,547959.0,98.072937,addition,0.9018077,Q3 2018,INDUSTRIALS,13F,09/30/2020,17.2454,26.4
Z holdings corp,YAHOF,"",3207251.0,21244000.0,0.126264,0.0755,88,1768631.0,122.939414,addition,0.0664879,Q4 2019,COMMUNICATIONS,13F,09/30/2020,5.4259,6.01
Takeda pharmaceutical co ltd,TAK,"",1156297.0,20628000.0,0.122603,,89,1156297.0,,new,0.0369873,Q3 2020,HEALTH CARE,13F,09/30/2020,17.84,18.11
Meituan dianping ord shs,MPNGF,"",619289.0,19322000.0,0.114841,0.0751,90,304322.0,96.620281,addition,0.0105303,Q1 2019, ,13F,09/30/2020,,
Workhorse group inc,WKHS,"",729863.0,18451000.0,0.109664,0.0193,91,626463.0,605.863636,addition,0.6942156,Q2 2020,CONSUMER DISCRETIONARY,13F,09/30/2020,24.1622,22.97
Caterpillar inc.,CAT,"",123641.0,18441000.0,0.109605,0.0864,92,60144.0,94.719436,addition,0.0228328,Q1 2020,INDUSTRIALS,13F,09/30/2020,135.2685,179.56
Pluristem therapeutics inc,PSTI,"",1743618.0,18360000.0,0.109123,0.1111,93,575002.0,49.203673,addition,6.8230900,Q3 2017,HEALTH CARE,13F,09/30/2020,306.0522,7.21
Evogene ltd,EVGN,"",4618845.0,18291000.0,0.108713,0.0042,94,4223604.0,1068.614845,addition,14.5988000,Q4 2016,HEALTH CARE,13F,09/30/2020,3.7974,4.41
Aquabounty technologies inc,AQB,"",4585206.0,17423782.8,0.103559,0.1026,95,724547.0,18.767444,addition,10.2405073,,HEALTH CARE,13G,10/31/2020,,9.39
Codexis inc,CDXS,"",1412299.0,16580000.0,0.0985436,0.1226,96,412131.0,41.206177,addition,2.3885929,Q4 2018,MATERIALS,13F,09/30/2020,13.6663,22.67
Phreesia inc,PHR,"",512590.0,16470000.0,0.0978898,0.0069,97,490054.0,2174.538516,addition,1.3498894,Q2 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,31.9607,57.31
Flir systems inc,FLIR,"",451880.0,16200000.0,0.0962851,0.0899,98,245743.0,119.213436,addition,0.3446257,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2020,37.8024,44.54
Komatsu ltd. adr (kabushiki kaisha komatsu seisakuaho) adr,KMTUY,"",681482.0,14993000.0,0.0891113,0.0838,99,300171.0,78.720782,addition,0.0721172,Q3 2019,INDUSTRIALS,13F,09/30/2020,20.9313,26.62
Zhongan online p & c insurance corporation ord shs h,ZZHGF,"",2982615.0,14740000.0,0.0876075,0.0603,100,1849815.0,163.295816,addition,0.2029248,Q1 2019, ,13F,09/30/2020,,
Autodesk  inc.,ADSK,"",55188.0,12749000.0,0.075774,0.8744,101,-284680.0,-83.761931,reduction,0.0251679,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,149.78,301.39
Aerovironment inc,AVAV,"",201537.0,12094000.0,0.071881,0.1197,102,61825.0,44.251746,addition,0.8360948,Q4 2016,INDUSTRIALS,13F,09/30/2020,55.1851,88.97
Baidu inc adr,BIDU,"",94537.0,11967000.0,0.0711261,0.0558,103,51265.0,118.471529,addition,0.0274286,Q4 2016,COMMUNICATIONS,13F,09/30/2020,136.6828,191.02
Wix.com ltd,WIX,"",44825.0,11424000.0,0.0678988,0.0232,104,36391.0,431.479725,addition,0.0813268,Q4 2017,COMMUNICATIONS,13F,09/30/2020,239.1711,267.1
Nxp semiconductors n.v.,NXPI,"",90162.0,11253000.0,0.0668825,0.067,105,35507.0,64.965694,addition,0.0322902,Q3 2018,INFORMATION TECHNOLOGY,13F,09/30/2020,109.0673,157.33
Organovo holdings inc,ONVO,"",1422394.0,11251000.0,0.0668706,0.1606,106,65472.65,4.825088,addition,21.7794151,Q4 2016,HEALTH CARE,13F,09/30/2020,8015.3442,15.96
Sbi holdings inc ordinary,SBHGF,"",430594.0,11070000.0,0.0657948,0.0463,107,231094.0,115.836591,addition,0.1799059,Q4 2017,FINANCE,13F,09/30/2020,23.521,23.875
Workday inc,WDAY,"",49851.0,10724000.0,0.0637383,0.2132,108,-55925.0,-52.871162,reduction,0.0210342,Q4 2017,COMMUNICATIONS,13F,09/30/2020,168.15,248.76
Virgin galactic holdings inc,SPCE,"",505397.0,9719000.0,0.0577651,0.0335,109,314883.0,165.280767,addition,0.2402033,Q2 2020,FINANCE,13F,09/30/2020,18.1406,25.85
Ansys  inc.,ANSS,"",27988.0,9159000.0,0.0544367,0.0566,110,9956.0,55.212955,addition,0.0326241,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,229.2292,364.17
Intuitive surgical inc,ISRG,"",12820.0,9096000.0,0.0540623,0.0591,111,3170.0,32.849741,addition,0.0109548,Q2 2018,HEALTH CARE,13F,09/30/2020,569.901,807.0
Intuit  inc.,INTU,"",26879.0,8768000.0,0.0521128,0.0286,112,17899.0,199.320713,addition,0.0102667,Q2 2017,INFORMATION TECHNOLOGY,13F,09/30/2020,299.0485,381.16
Elbit systems ltd,ESLT,"",69898.0,8409000.0,0.0499791,0.0535,113,33582.0,92.471638,addition,0.1581462,Q4 2016,INDUSTRIALS,13F,09/30/2020,125.7086,131.0
Guidewire software  inc.,GWRE,"",78215.0,8155000.0,0.0484694,0.0329,114,50603.0,183.264523,addition,0.0936990,Q4 2017,INFORMATION TECHNOLOGY,13F,09/30/2020,104.1676,127.21
Interactive brokers group inc,IBKR,"",166857.0,8064000.0,0.0479286,0.0456,115,65391.0,64.446218,addition,0.0400402,Q4 2017,FINANCE,13F,09/30/2020,45.8185,61.08
Charles schwab corp,SCHW,"",214896.0,7786000.0,0.0462763,0.0122,116,181307.0,539.780881,addition,0.0166762,Q4 2017,FINANCE,13F,09/30/2020,36.8161,52.06
Discovery ord shs,DCYHF,"",996641.0,7641000.0,0.0454145,0.0196,117,693607.0,228.887518,addition,0.1517780,Q4 2019, ,13F,09/30/2020,,
Hdfc bank ltd adr,HDB,"",144896.0,7239000.0,0.0430252,0.0396,118,63847.0,78.775802,addition,0.0078981,Q4 2017,FINANCE,13F,09/30/2020,47.7617,69.55
Transunion,TRU,"",84946.0,7147000.0,0.0424784,0.0229,119,60473.0,247.100887,addition,0.0446849,Q4 2017,INFORMATION TECHNOLOGY,13F,09/30/2020,81.0761,100.97
Niu technologies,NIU,"",367407.0,7054000.0,0.0419256,,120,367407.0,,new,0.4915372,Q3 2020,CONSUMER DISCRETIONARY,13F,09/30/2020,19.2,28.31
Yeahka ord shs,YHEKF,"",1106000.0,6779000.0,0.0402911,,121,1106000.0,,new,N/A,Q3 2020, ,13F,09/30/2020,,
Berkeley lights  inc.,BLI,"",86332.0,6592000.0,0.0391797,,122,86332.0,,new,0.1354513,Q3 2020,HEALTH CARE,13F,09/30/2020,76.36,103.38
Tcs group holding gdr,TCS.UK,"",242678.0,6419000.0,0.0381515,,123,242678.0,,new,N/A,Q3 2020, ,13F,09/30/2020,,
Verisk analytics inc,VRSK,"",34541.0,6401000.0,0.0380445,0.0234,124,21751.0,170.062549,addition,0.0212709,Q4 2017,INDUSTRIALS,13F,09/30/2020,170.1468,201.23
Rockwell automation  inc.,ROK,"",27712.0,6115000.0,0.0363446,0.0309,125,14228.0,105.517651,addition,0.0238965,Q1 2020,INDUSTRIALS,13F,09/30/2020,195.1056,248.63
Pinduoduo inc,PDD,"",81232.0,6023000.0,0.0357978,0.2368,126,-175278.0,-68.331839,reduction,0.0067828,Q4 2018,CONSUMER DISCRETIONARY,13F,09/30/2020,33.14,152.75
Lightspeed pos inc.,LSPD,"",170054.0,5450000.0,0.0323922,,127,170054.0,,new,0.1900994,Q3 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,32.02,68.46
Social capital hedosophia holdings corp. ii,IPOB,"",199715.0,3793000.0,0.0225438,,128,199715.0,,new,0.3859227,Q3 2020,FINANCE,13F,09/30/2020,18.99,
Silvergate capital corp.,SI,"",226764.0,3265000.0,0.0194056,0.0155,129,123944.0,120.544641,addition,1.2141564,Q4 2019,FINANCE,13F,09/30/2020,13.6836,63.57
Surface oncology inc,SURF,"",454069.0,3133000.0,0.0186211,,130,454069.0,,new,1.1378446,Q3 2020,HEALTH CARE,13F,09/30/2020,6.9,9.63
Slm solutions group ag,SLGRF,"",279373.0,3010000.0,0.01789,0.0156,131,81019.0,40.84566,addition,1.4124762,Q3 2017,INFORMATION TECHNOLOGY,13F,09/30/2020,13.4913,19.25
Renishaw ord gbp0.20,RNSHF,"",41388.0,3003000.0,0.0178484,0.0213,132,1624.0,4.084096,addition,0.0568606,Q3 2017, ,13F,09/30/2020,,
