Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Kamada ltd,KMDA,"",92818.0,793000.0,0.00471321,,163,92818.0,,new,0.2084675,Q3 2020,HEALTH CARE,13F,09/30/2020,8.36,6.6
Biondvax pharmaceuticals ltd adr,BVXV,"",19856.0,776000.0,0.00461217,,164,19856.0,,new,0.1722543,Q3 2020,HEALTH CARE,13F,09/30/2020,39.09,3.17
Gamida cell ltd,GMDA,"",186415.0,774000.0,0.00460029,,165,186415.0,,new,0.3768105,Q3 2020,HEALTH CARE,13F,09/30/2020,4.15,9.2
Ituran location and control ltd,ITRN,"",55311.0,770000.0,0.00457651,0.0112,166,-9453.0,-14.596072,reduction,0.2356123,Q4 2017,INFORMATION TECHNOLOGY,13F,09/30/2020,19.28,19.03
Tower semiconductor ltd,TSEM,"",40501.0,738000.0,0.00438632,0.0117,167,-16712.0,-29.210145,reduction,0.0377588,Q4 2017,INFORMATION TECHNOLOGY,13F,09/30/2020,20.34,25.38
Allot ltd,ALLT,"",79702.0,725000.0,0.00430905,0.0116,168,-23474.0,-22.751415,reduction,0.2263457,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2020,8.85,11.21
Silicom ltd,SILC,"",21763.0,705000.0,0.00419018,,169,21763.0,,new,0.3032860,Q3 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,32.39,41.29
Batm advanced communications ltd,BTAVF,"",494663.0,699000.0,0.00415452,,170,494663.0,,new,0.1123521,Q3 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,,
Taro pharmaceutical industries ltd,TARO,"",12696.0,696000.0,0.00413669,0.0108,171,-2418.0,-15.998412,reduction,0.0331851,Q4 2017,HEALTH CARE,13F,09/30/2020,75.14,72.8
Hexagon ab ordinary,HXGBF,"",9127.0,691000.0,0.00410697,0.0055,172,337.0,3.833902,addition,0.0024832,Q3 2017,INDUSTRIALS,13F,09/30/2020,53.3479,88.0
Meituan dianping,MPNGY,"",10879.0,691000.0,0.00410697,0.006,173,-1545.0,-12.435608,reduction,0.0003700,Q4 2019,CONSUMER DISCRETIONARY,13F,09/30/2020,,70.34
Teva pharmaceutical industries ltd  adr,TEVA,"",75087.0,677000.0,0.00402377,0.0133,174,-24905.0,-24.906993,reduction,0.0068524,Q4 2017,HEALTH CARE,13F,09/30/2020,11.99,9.83
Urogen pharma ltd,URGN,"",34212.0,660000.0,0.00392273,0.0133,175,-12996.0,-27.529232,reduction,0.1553410,Q4 2017,HEALTH CARE,13F,09/30/2020,30.21,18.87
Faro technologies inc.,FARO,"",10475.0,639000.0,0.00379791,0.0049,176,1908.0,22.271507,addition,0.0589072,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,49.2029,71.75
Ametek inc.,AME,"",6300.0,626000.0,0.00372065,0.0049,177,1227.0,24.186872,addition,0.0027435,Q4 2016,INDUSTRIALS,13F,09/30/2020,73.8337,119.04
Align technology inc,ALGN,"",1872.0,613000.0,0.00364338,0.0063,178,-261.0,-12.236287,reduction,0.0023760,Q4 2016,HEALTH CARE,13F,09/30/2020,215.43,528.03
United parcel service  inc. class b,UPS,"",3400.0,567000.0,0.00336998,0.0032,179,754.0,28.495843,addition,0.0003938,Q4 2016,TRANSPORTS,13F,09/30/2020,125.8271,172.19
Moog inc class a,MOG.A,"",7726.0,491000.0,0.00291827,0.0029,180,2562.0,49.612703,addition,0.0236140,Q1 2018,INDUSTRIALS,13F,09/30/2020,70.508,79.23
Arconic corp. (2020),ARNC,"",24415.0,465000.0,0.00276374,0.0047,181,-6747.0,-21.65137,reduction,0.0223849,Q2 2020,MATERIALS,13F,09/30/2020,13.93,29.16
Stryker corp.,SYK,"",2140.0,446000.0,0.00265081,0.0029,182,617.0,40.512147,addition,0.0005697,Q1 2018,HEALTH CARE,13F,09/30/2020,174.6576,237.06
Polypid ltd.,PYPD,"",40433.0,445000.0,0.00264487,,183,40433.0,,new,0.2371931,Q3 2020,HEALTH CARE,13F,09/30/2020,11.01,10.06
