Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Nanostring technologies inc,NSTG,"",3822106.0,170848000.0,0.947407,1.1001,34,337295.0,9.679004,addition,8.6737264,Q4 2016,HEALTH CARE,13F,09/30/2020,17.2563,71.06
Docusign inc,DOCU,"",752146.0,161892000.0,0.897743,0.0308,35,735504.0,4419.564956,addition,0.4031724,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2020,212.5364,249.28
Sea ltd adr,SE,"",1004874.0,154791000.0,0.858366,0.2796,36,762438.0,314.490422,addition,0.1962907,Q4 2019,INFORMATION TECHNOLOGY,13F,09/30/2020,128.4906,226.05
Stratasys ltd,SSYS,"",12070385.0,150518000.0,0.834671,1.9259,37,780340.0,6.911753,addition,21.3192805,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,18.7836,31.85
Tencent holdings ltd adr,TCEHY,"",2217845.0,150037000.0,0.832004,0.6026,38,1342451.0,153.353918,addition,0.0231342,Q3 2017,COMMUNICATIONS,13F,09/30/2020,62.1044,82.25
Zscaler inc,ZS,"",1030864.0,145032000.0,0.804249,0.92,39,249725.0,31.969342,addition,0.7682016,Q4 2019,INFORMATION TECHNOLOGY,13F,09/30/2020,110.3875,211.06
Intercontinental exchange inc,ICE,"",1442504.0,144323000.0,0.800318,0.0593,40,1382352.0,2298.098151,addition,0.2570008,Q1 2018,FINANCE,13F,09/30/2020,99.4654,115.19
Synopsys inc.,SNPS,"",631126.0,135048000.0,0.748885,0.1981,41,536678.0,568.225902,addition,0.4124131,Q1 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,205.0758,258.92
Iridium communications inc,IRDM,"",4400942.0,112576000.0,0.62427,0.8951,42,1129751.0,34.536381,addition,3.3014892,Q3 2019,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,24.3387,46.55
Nintendo co ltd. sponsored adr,NTDOY,"",1557294.0,110412000.0,0.61227,,43,1557294.0,,new,0.1634115,Q3 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,70.9,78.75
Arcturus therapeutics ltd,ARCT,"",2495842.0,107072000.0,0.593749,0.9646,44,577007.0,30.070694,addition,10.1899867,Q2 2019,HEALTH CARE,13F,09/30/2020,22.9262,59.69
Syros pharmaceuticals inc,SYRS,"",11212506.0,99119000.0,0.549647,0.9761,45,2699373.0,31.708338,addition,19.9521064,Q4 2016,HEALTH CARE,13F,09/30/2020,9.3411,14.1
Mercadolibre inc,MELI,"",77799.0,84216000.0,0.467005,0.5229,46,28476.0,57.733714,addition,0.1560045,Q4 2016,COMMUNICATIONS,13F,09/30/2020,739.0024,1851.78
Unity software inc.,U,"",890404.0,77714000.0,0.430949,,47,890404.0,,new,0.3288329,Q3 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,87.28,148.61
Cellectis s.a. adr,CLLS,"",4863775.0,77382660.25,0.429112,0.4537,48,728692.0,17.622186,addition,11.4479117,,HEALTH CARE,13G,10/31/2020,,30.91
Amazon.com inc.,AMZN,"",24266.0,76407000.0,0.423701,0.527,49,6504.0,36.617498,addition,0.0048363,Q4 2016,CONSUMER DISCRETIONARY,13F,09/30/2020,2028.017,3104.25
Alibaba group holding ltd adr,BABA,"",257372.0,75662000.0,0.41957,0.3562,50,103814.0,67.605726,addition,0.0095124,Q4 2016,COMMUNICATIONS,13F,09/30/2020,227.9739,243.46
Caredx inc,CDNA,"",1859227.0,70539000.0,0.391162,0.4861,51,583725.0,45.764334,addition,3.7745272,Q2 2019,HEALTH CARE,13F,09/30/2020,31.4707,88.15
Snap inc class a,SNAP,"",2621392.0,68445000.0,0.37955,0.4824,52,712028.0,37.29137,addition,0.2123087,Q3 2019,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,20.283,50.31
Fate therapeutics inc,FATE,"",1439970.0,57556000.0,0.319167,0.3763,53,420140.0,41.197062,addition,1.6505083,Q2 2019,HEALTH CARE,13F,09/30/2020,30.2885,113.59
Bitcoin investment trust,GBTC,"",5170460.0,56720000.0,0.314531,0.3815,54,1477865.0,40.022396,addition,No Data,Q3 2017,FINANCE,13F,09/30/2020,7.542,39.34
Exact sciences corp,EXAS,"",529196.0,53952000.0,0.299181,,55,529196.0,,new,0.3136015,Q3 2020,HEALTH CARE,13F,09/30/2020,101.95,145.97
Jd.com inc adr,JD,"",692704.0,53761000.0,0.298122,0.0987,56,540188.0,354.184479,addition,0.0446941,Q3 2017,CONSUMER DISCRETIONARY,13F,09/30/2020,70.6194,87.77
Incyte corporation,INCY,"",579326.0,51989000.0,0.288296,0.3721,57,246548.0,74.08783,addition,0.2645371,Q4 2016,HEALTH CARE,13F,09/30/2020,89.2288,90.56
The exone co,XONE,"",4062980.0,49650000.0,0.275325,0.2968,58,835326.0,25.880283,addition,21.1751511,Q4 2016,COMMUNICATIONS,13F,09/30/2020,9.4872,15.26
Nvidia corp.,NVDA,"",87264.0,47229000.0,0.2619,0.2464,59,26967.0,44.723618,addition,0.0140976,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,277.6141,514.38
Paypal holdings inc,PYPL,"",225157.0,44363000.0,0.246007,0.3078,60,60928.0,37.099416,addition,0.0192164,Q4 2016,COMMUNICATIONS,13F,09/30/2020,135.7168,239.79
Adaptive biotechnologies corp,ADPT,"",884722.0,43024000.0,0.238582,0.1609,61,575584.0,186.189986,addition,0.6468570,Q2 2020,HEALTH CARE,13F,09/30/2020,48.5426,65.09
Netflix inc,NFLX,"",84439.0,42222000.0,0.234135,0.1674,62,50244.0,146.933762,addition,0.0191127,Q4 2016,COMMUNICATIONS,13F,09/30/2020,398.3752,497.98
Salesforce.com inc.,CRM,"",144644.0,36352000.0,0.201584,0.2698,63,10757.0,8.034387,addition,0.0157610,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,133.9037,213.14
Lendingclub corp,LC,"",7487851.0,35268000.0,0.195572,0.1824,64,3759818.0,100.852594,addition,9.5712555,Q4 2016,FINANCE,13F,09/30/2020,38.8047,10.66
The trade desk inc class a,TTD,"",66201.0,34344000.0,0.190449,0.1602,65,29564.0,80.69438,addition,0.1578132,Q3 2019,COMMUNICATIONS,13F,09/30/2020,372.9979,785.36
Crowdstrike holdings inc,CRWD,"",236572.0,32486000.0,0.180145,0.1439,66,103145.0,77.304444,addition,0.1256490,Q2 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,116.435,219.51
Twitter inc,TWTR,"",665508.0,29615000.0,0.164225,0.1363,67,240226.0,56.486284,addition,0.0836749,Q4 2016,COMMUNICATIONS,13F,09/30/2020,34.6844,45.18
Hubspot inc,HUBS,"",100945.0,29499000.0,0.163581,0.2099,68,13956.0,16.043408,addition,0.2199831,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,177.9883,384.58
10x genomics inc,TXG,"",231097.0,28813000.0,0.159777,0.3233,69,-105456.0,-31.334144,reduction,0.2883087,Q2 2020,HEALTH CARE,13F,09/30/2020,89.31,179.67
Pluristem therapeutics inc,PSTI,"",3959354.0,27992632.78,0.155228,0.1089,70,2215736.0,127.076917,addition,15.4460845,,HEALTH CARE,13G,12/31/2020,,8.04
Apple inc,AAPL,"",229924.0,26627000.0,0.147655,0.4066,71,-184596.0,-44.532471,reduction,0.0013262,Q1 2017,INFORMATION TECHNOLOGY,13F,09/30/2020,13.86,127.14
Vertex pharmaceuticals  inc.,VRTX,"",97352.0,26491000.0,0.146901,,72,97352.0,,new,0.0374376,Q3 2020,HEALTH CARE,13F,09/30/2020,272.12,225.55
Adyen nv,ADYEY,"",708698.0,26257000.0,0.145604,0.0132,73,666698.0,1587.37619,addition,0.0467463,Q2 2020, ,13F,09/30/2020,,43.46
Guardant health inc,GH,"",234021.0,26159000.0,0.14506,0.4001,74,-224531.0,-48.965221,reduction,0.2340856,Q2 2019,HEALTH CARE,13F,09/30/2020,79.05,159.29
Adyen nv,ADYYF,"",13722.0,25294000.0,0.140263,0.0706,75,9216.0,204.527297,addition,0.0452557,Q1 2019,FINANCE,13F,09/30/2020,1563.7814,2164.999
Atlassian corp plc,TEAM,"",136738.0,24858000.0,0.137846,0.1453,76,61823.0,82.524194,addition,0.1034616,Q4 2018,INFORMATION TECHNOLOGY,13F,09/30/2020,153.4376,222.93
Adobe systems  inc.,ADBE,"",50608.0,24820000.0,0.137635,0.1895,77,10140.0,25.056835,addition,0.0105495,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,338.2512,458.08
Schrodinger  inc.,SDGR,"",517035.0,24564000.0,0.136215,0.1532,78,361519.0,232.464184,addition,0.9179832,Q2 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,60.7626,90.89
Teradyne inc,TER,"",307698.0,24450000.0,0.135583,1.5938,79,-1445697.0,-82.451302,reduction,0.1852979,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,65.12,137.3
Okta inc,OKTA,"",114015.0,24382000.0,0.135206,0.1326,80,52438.0,85.15842,addition,0.0940591,Q2 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,206.4941,252.99
Trimble navigation ltd.,TRMB,"",493639.0,24040000.0,0.13331,0.1183,81,238951.0,93.821067,addition,0.1973170,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,42.7409,69.46
Ionis phrmacutls,IONS,"",502560.0,23846000.0,0.132234,0.2182,82,158429.0,46.03741,addition,0.3594255,Q4 2016,HEALTH CARE,13F,09/30/2020,53.4622,61.28
Deere & co.,DE,"",107456.0,23815000.0,0.132062,0.075,83,63083.0,142.165281,addition,0.0342914,Q3 2017,INDUSTRIALS,13F,09/30/2020,192.7365,295.4
Accolade  inc.,ACCD,"",593584.0,23073000.0,0.127947,,84,593584.0,,new,1.0729779,Q3 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,38.87,52.35
Castle biosciences inc,CSTL,"",447725.0,23035000.0,0.127737,0.1921,85,-26045.0,-5.497393,reduction,1.8085686,Q3 2019,HEALTH CARE,13F,09/30/2020,30.3,74.14
Alphabet inc. class c,GOOG,"",14849.0,21822000.0,0.12101,0.0466,86,11784.0,384.469821,addition,0.0045015,Q2 2020,COMMUNICATIONS,13F,09/30/2020,1458.043,1736.19
Byd co ltd adr,BYDDY,"",665516.0,21463000.0,0.119019,,87,665516.0,,new,0.0487889,Q3 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,32.25,59.9
Kratos defense & security solutions inc,KTOS,"",1106685.0,21337000.0,0.118321,0.0939,88,547959.0,98.072937,addition,0.9015314,Q3 2018,INDUSTRIALS,13F,09/30/2020,17.2454,29.55
Z holdings corp,YAHOF,"",3207251.0,21244000.0,0.117805,0.0755,89,1768631.0,122.939414,addition,0.0664871,Q4 2019,COMMUNICATIONS,13F,09/30/2020,5.4259,6.81
Takeda pharmaceutical co ltd,TAK,"",1156297.0,20628000.0,0.114389,,90,1156297.0,,new,0.0369812,Q3 2020,HEALTH CARE,13F,09/30/2020,17.84,17.44
Meituan,MPNGF,"",619289.0,19322000.0,0.107147,0.0751,91,304322.0,96.620281,addition,0.0120254,Q1 2019, ,13F,09/30/2020,,39.364
Workhorse group inc,WKHS,"",729863.0,18451000.0,0.102317,0.0193,92,626463.0,605.863636,addition,0.6055489,Q2 2020,CONSUMER DISCRETIONARY,13F,09/30/2020,24.1622,23.34
Caterpillar inc.,CAT,"",123641.0,18441000.0,0.102261,0.0864,93,60144.0,94.719436,addition,0.0227592,Q1 2020,INDUSTRIALS,13F,09/30/2020,135.2685,194.62
Evogene ltd,EVGN,"",4618845.0,18291000.0,0.101429,0.0042,94,4223604.0,1068.614845,addition,12.9834181,Q4 2016,HEALTH CARE,13F,09/30/2020,3.7974,6.08
Aquabounty technologies inc,AQB,"",4585206.0,17423782.8,0.0966205,0.1026,95,724547.0,18.767444,addition,8.2740610,,HEALTH CARE,13G,10/31/2020,,11.0
Codexis inc,CDXS,"",1412299.0,16580000.0,0.0919415,0.1226,96,412131.0,41.206177,addition,2.2217305,Q4 2018,MATERIALS,13F,09/30/2020,13.6663,25.3
Phreesia inc,PHR,"",512590.0,16470000.0,0.0913315,0.0069,97,490054.0,2174.538516,addition,1.1606814,Q2 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,31.9607,62.96
Flir systems inc,FLIR,"",451880.0,16200000.0,0.0898342,0.0899,98,245743.0,119.213436,addition,0.3445438,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2020,37.8024,53.69
Komatsu ltd. adr (kabushiki kaisha komatsu seisakuaho) adr,KMTUY,"",681482.0,14993000.0,0.083141,0.0838,99,300171.0,78.720782,addition,0.0700474,Q3 2019,INDUSTRIALS,13F,09/30/2020,20.9313,29.15
Zhongan online p & c insurance corporation ord shs h,ZZHGF,"",2982615.0,14740000.0,0.0817381,0.0603,100,1849815.0,163.295816,addition,0.2100710,Q1 2019, ,13F,09/30/2020,,
Autodesk  inc.,ADSK,"",55188.0,12749000.0,0.0706973,0.8744,101,-284680.0,-83.761931,reduction,0.0250981,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,149.78,308.51
Aerovironment inc,AVAV,"",201537.0,12094000.0,0.0670651,0.1197,102,61825.0,44.251746,addition,0.8361150,Q4 2016,INDUSTRIALS,13F,09/30/2020,55.1851,116.64
Baidu inc adr,BIDU,"",94537.0,11967000.0,0.0663609,0.0558,103,51265.0,118.471529,addition,0.0346729,Q4 2016,COMMUNICATIONS,13F,09/30/2020,136.6828,238.87
Wix.com ltd,WIX,"",44825.0,11424000.0,0.0633498,0.0232,104,36391.0,431.479725,addition,0.0805622,Q4 2017,COMMUNICATIONS,13F,09/30/2020,239.1711,241.28
Nxp semiconductors n.v.,NXPI,"",90162.0,11253000.0,0.0624015,0.067,105,35507.0,64.965694,addition,0.0322295,Q3 2018,INFORMATION TECHNOLOGY,13F,09/30/2020,109.0673,172.22
Organovo holdings inc,ONVO,"",1422394.0,11251000.0,0.0623904,0.1606,106,65472.65,4.825088,addition,21.1285648,Q4 2016,HEALTH CARE,13F,09/30/2020,8015.3442,13.97
Sbi holdings inc ordinary,SBHGF,"",430594.0,11070000.0,0.0613867,0.0463,107,231094.0,115.836591,addition,0.1770317,Q4 2017,FINANCE,13F,09/30/2020,23.521,25.64
Workday inc,WDAY,"",49851.0,10724000.0,0.059468,0.2132,108,-55925.0,-52.871162,reduction,0.0276950,Q4 2017,COMMUNICATIONS,13F,09/30/2020,168.15,222.56
Virgin galactic holdings inc,SPCE,"",505397.0,9719000.0,0.053895,0.0335,109,314883.0,165.280767,addition,0.2156660,Q2 2020,FINANCE,13F,09/30/2020,18.1406,30.43
Ansys  inc.,ANSS,"",27988.0,9159000.0,0.0507896,0.0566,110,9956.0,55.212955,addition,0.0325881,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,229.2292,364.28
Intuitive surgical inc,ISRG,"",12820.0,9096000.0,0.0504403,0.0591,111,3170.0,32.849741,addition,0.0109055,Q2 2018,HEALTH CARE,13F,09/30/2020,569.901,778.42
Intuit  inc.,INTU,"",26879.0,8768000.0,0.0486214,0.0286,112,17899.0,199.320713,addition,0.0098082,Q2 2017,INFORMATION TECHNOLOGY,13F,09/30/2020,299.0485,371.01
Elbit systems ltd,ESLT,"",69898.0,8409000.0,0.0466306,0.0535,113,33582.0,92.471638,addition,0.1581462,Q4 2016,INDUSTRIALS,13F,09/30/2020,125.7086,135.28
Guidewire software  inc.,GWRE,"",78215.0,8155000.0,0.0452221,0.0329,114,50603.0,183.264523,addition,0.0933864,Q4 2017,INFORMATION TECHNOLOGY,13F,09/30/2020,104.1676,125.0
Interactive brokers group inc,IBKR,"",166857.0,8064000.0,0.0447175,0.0456,115,65391.0,64.446218,addition,0.1838303,Q4 2017,FINANCE,13F,09/30/2020,45.8185,69.02
Charles schwab corp,SCHW,"",214896.0,7786000.0,0.0431759,0.0122,116,181307.0,539.780881,addition,0.0119401,Q4 2017,FINANCE,13F,09/30/2020,36.8161,58.75
Discovery ord shs,DCYHF,"",996641.0,7641000.0,0.0423718,0.0196,117,693607.0,228.887518,addition,0.1496978,Q4 2019, ,13F,09/30/2020,,
Hdfc bank ltd adr,HDB,"",144896.0,7239000.0,0.0401426,0.0396,118,63847.0,78.775802,addition,0.0078924,Q4 2017,FINANCE,13F,09/30/2020,47.7617,74.88
Transunion,TRU,"",84946.0,7147000.0,0.0396324,0.0229,119,60473.0,247.100887,addition,0.0446379,Q4 2017,INFORMATION TECHNOLOGY,13F,09/30/2020,81.0761,91.27
Niu technologies,NIU,"",367407.0,7054000.0,0.0391167,,120,367407.0,,new,0.5641522,Q3 2020,CONSUMER DISCRETIONARY,13F,09/30/2020,19.2,37.99
Yeahka ord shs,YHEKF,"",1106000.0,6779000.0,0.0375917,,121,1106000.0,,new,N/A,Q3 2020, ,13F,09/30/2020,,
Berkeley lights  inc.,BLI,"",86332.0,6592000.0,0.0365548,,122,86332.0,,new,0.1341214,Q3 2020,HEALTH CARE,13F,09/30/2020,76.36,83.75
Tcs group holding gdr,TCS.UK,"",242678.0,6419000.0,0.0355954,,123,242678.0,,new,N/A,Q3 2020, ,13F,09/30/2020,,
Verisk analytics inc,VRSK,"",34541.0,6401000.0,0.0354956,0.0234,124,21751.0,170.062549,addition,0.0212443,Q4 2017,INDUSTRIALS,13F,09/30/2020,170.1468,190.02
Rockwell automation  inc.,ROK,"",27712.0,6115000.0,0.0339096,0.0309,125,14228.0,105.517651,addition,0.0238544,Q1 2020,INDUSTRIALS,13F,09/30/2020,195.1056,255.6
Pinduoduo inc,PDD,"",81232.0,6023000.0,0.0333995,0.2368,126,-175278.0,-68.331839,reduction,0.0066240,Q4 2018,CONSUMER DISCRETIONARY,13F,09/30/2020,33.14,161.2
Lightspeed pos inc.,LSPD,"",170054.0,5450000.0,0.030222,,127,170054.0,,new,0.1430937,Q3 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,32.02,70.29
The bitcoin fund,QBTC:TSX,"",313436.0,4655000.0,0.0258135,,128,313436.0,,new,N/A,Q3 2020, ,13F,09/30/2020,,
Opendoor technologies  inc.,IPOB,"",199715.0,3793000.0,0.0210334,,129,199715.0,,new,0.4824034,Q3 2020,CONSUMER DISCRETIONARY,13F,09/30/2020,18.99,
Silvergate capital corp.,SI,"",226764.0,3265000.0,0.0181055,0.0155,130,123944.0,120.544641,addition,1.2141955,Q4 2019,FINANCE,13F,09/30/2020,13.6836,68.04
Surface oncology inc,SURF,"",454069.0,3133000.0,0.0173735,,131,454069.0,,new,1.1378446,Q3 2020,HEALTH CARE,13F,09/30/2020,6.9,12.3
Slm solutions group ag,SLGRF,"",279373.0,3010000.0,0.0166914,0.0156,132,81019.0,40.84566,addition,1.4124762,Q3 2017,INFORMATION TECHNOLOGY,13F,09/30/2020,13.4913,23.75
Renishaw ord gbp0.20,RNSHF,"",41388.0,3003000.0,0.0166526,0.0213,133,1624.0,4.084096,addition,0.0568606,Q3 2017, ,13F,09/30/2020,,
Hp inc,HPQ,"",131320.0,2494000.0,0.01383,0.0191,134,29596.0,29.094412,addition,0.0101827,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,18.6104,25.17
Straumann holding ag adr,SAUHF,"",2425.0,2448000.0,0.013575,0.0187,135,397.0,19.575937,addition,0.0152580,Q2 2019,HEALTH CARE,13F,09/30/2020,897.2162,1158.8
France mgi digital graphic technology,FRIIF,"",52053.0,2367000.0,0.0131258,0.0167,136,16496.0,46.393115,addition,0.8471054,Q3 2017,INFORMATION TECHNOLOGY,13F,09/30/2020,49.577,49.01
Altair engineering inc,ALTR,"",53575.0,2249000.0,0.0124714,0.0195,137,8020.0,17.605093,addition,0.1238951,Q2 2019,INDUSTRIALS,13F,09/30/2020,38.2727,59.9
Dassault systemes s.a ordinary,DASTF,"",11433.0,2141000.0,0.0118725,0.0165,138,2547.0,28.663065,addition,0.0043827,Q3 2017,INFORMATION TECHNOLOGY,13F,09/30/2020,150.9543,196.64
Microsoft corp.,MSFT,"",9842.0,2070000.0,0.0114788,0.0165,139,2310.0,30.669145,addition,0.0001302,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,130.9233,212.65
Ptc inc.,PTC,"",24935.0,2063000.0,0.01144,0.017,140,4655.0,22.953649,addition,0.0213736,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,63.8918,124.12
3d systems corp.,DDD,"",347853.0,1708000.0,0.00947141,0.0162,141,132919.0,61.841775,addition,0.2802059,Q4 2016,INDUSTRIALS,13F,09/30/2020,7.6781,28.25
Fiverr international ltd,FVRR,"",10231.0,1422000.0,0.00788545,0.027,142,-23738.0,-69.881362,reduction,0.0291338,Q3 2019,CONSUMER DISCRETIONARY,13F,09/30/2020,39.22,267.13
Cellular biomedicine group inc,CBMG,"",71010.0,1302000.0,0.00722001,0.0969,143,-530643.0,-88.197516,reduction,0.3645643,Q1 2019,HEALTH CARE,13F,09/30/2020,16.24,18.11
Redhill biopharma ltd. adr,RDHL,"",122860.0,1256000.0,0.00696493,0.0105,144,-23302.0,-15.942584,reduction,0.3284271,Q4 2017,HEALTH CARE,13F,09/30/2020,5.73,7.43
