Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Tesla inc,TSLA,"",3430778.0,1471838000.0,8.16182,8.2732,1,-130962.0,-3.676911,reduction,0.3619343,Q4 2016,CONSUMER DISCRETIONARY,13F,09/30/2020,15.8,826.16
Invitae corp,NVTA,"",27303139.0,1070556080.19,5.93658,7.1358,2,-451600.0,-1.62711,reduction,15.4517167,,HEALTH CARE,13G,10/31/2020,,52.59
Square inc,SQ,"",5829902.0,947651000.0,5.25503,6.8125,3,-205854.0,-3.410575,reduction,1.5189712,Q4 2016,FINANCE,13F,09/30/2020,65.19,227.75
Twist bioscience corp,TWST,"",5876981.0,830358645.49,4.60461,1.424,4,2716503.0,85.952283,addition,12.0885347,,HEALTH CARE,13G,12/31/2020,,181.35
Roku inc,ROKU,"",3954611.0,746631000.0,4.14031,4.1649,5,631631.0,19.007969,addition,3.6285360,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2020,121.7709,408.3
Iovance biotherapeutics inc,IOVA,"",15297832.0,709819404.8,3.93618,1.5431,6,7394524.0,93.562392,addition,10.4288704,,HEALTH CARE,13G,12/31/2020,,51.06
Crispr therapeutics ag,CRSP,"",8457320.0,707370000.0,3.9226,5.1245,7,1974069.0,30.448752,addition,11.8770701,Q2 2017,HEALTH CARE,13F,09/30/2020,61.1561,199.88
Zillow group inc class c,Z,"",4901109.0,497904000.0,2.76104,,8,4901109.0,,new,2.9544753,Q3 2020,COMMUNICATIONS,13F,09/30/2020,101.59,137.5
Pure storage inc,PSTG,"",29275294.0,471332233.4,2.61369,2.336,9,3681910.0,14.386179,addition,10.7309805,,INFORMATION TECHNOLOGY,13G,10/31/2020,,22.86
2u  inc,TWOU,"",13238782.0,448265000.0,2.48577,3.9293,10,3614768.0,37.559879,addition,18.3696292,Q4 2016,CONSUMER DISCRETIONARY,13F,09/30/2020,29.2002,42.65
Teladoc health inc,TDOC,"",2012786.0,441283000.0,2.44706,0.2724,11,1880057.0,1416.462868,addition,1.3885041,Q3 2017,HEALTH CARE,13F,09/30/2020,208.7076,225.25
Lendingtree inc,TREE,"",1347905.0,413659000.0,2.29387,2.9294,12,407211.0,43.288359,addition,10.2680602,Q4 2016,FINANCE,13F,09/30/2020,276.8248,302.95
Proto labs inc,PRLB,"",3094035.0,400678000.0,2.22189,2.6811,13,877629.0,39.596942,addition,11.5649534,Q4 2016,CONSUMER DISCRETIONARY,13F,09/30/2020,105.0797,168.63
Slack technologies inc,WORK,"",14044461.0,377234000.0,2.09188,1.581,14,9316364.0,197.042573,addition,2.8630296,Q2 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,28.284,41.8
Seres therapeutics inc,MCRB,"",12293033.0,348016000.0,1.92986,0.6389,15,-185901.0,-1.489719,reduction,13.4720771,Q4 2016,HEALTH CARE,13F,09/30/2020,5.96,24.48
Illumina inc,ILMN,"",978663.0,302485000.0,1.67738,3.6987,16,50126.0,5.398385,addition,0.6703171,Q4 2016,HEALTH CARE,13F,09/30/2020,277.6753,376.35
Editas medicine inc,EDIT,"",10670424.0,299412000.0,1.66034,2.4008,17,3124278.0,41.4023,addition,17.1180843,Q1 2017,HEALTH CARE,13F,09/30/2020,27.4377,76.14
Pagerduty inc,PD,"",10620814.0,287930000.0,1.59666,1.6002,18,5422353.0,104.30689,addition,12.9628365,Q1 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,25.0641,45.56
Compugen ltd,CGEN,"",17672228.0,287174000.0,1.59247,2.2776,19,3573805.0,25.34897,addition,21.3705751,Q4 2016,HEALTH CARE,13F,09/30/2020,8.9823,13.01
Spotify technology sa,SPOT,"",1124066.0,272665000.0,1.51202,1.1251,20,718914.0,177.443034,addition,0.5929051,Q2 2018,COMMUNICATIONS,13F,09/30/2020,242.9016,319.82
Pinterest inc,PINS,"",6040263.0,250731000.0,1.39038,1.8034,21,-1522692.0,-20.133559,reduction,1.1823802,Q3 2019,COMMUNICATIONS,13F,09/30/2020,18.01,69.75
Personalis inc,PSNL,"",6778633.0,248165754.13,1.37616,,22,2831241.0,71.724344,addition,17.4111087,,HEALTH CARE,13G,12/31/2020,,43.61
Splunk inc,SPLK,"",1271655.0,239236000.0,1.32664,2.0957,23,291031.0,29.678144,addition,0.7863272,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,137.9288,169.97
Materialise nv adr,MTLS,"",6319679.0,233259000.0,1.2935,1.1552,24,1558800.0,32.741853,addition,11.6665418,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,21.5946,67.11
Veracyte inc,VCYT,"",7018770.0,228040000.0,1.26456,1.4106,25,1954977.0,38.606969,addition,12.1227889,Q4 2016,HEALTH CARE,13F,09/30/2020,20.8239,50.79
Intellia therapeutics inc,NTLA,"",11404752.0,226726000.0,1.25727,2.5781,26,1373.0,0.01204,addition,17.6559230,Q4 2016,HEALTH CARE,13F,09/30/2020,19.54,81.89
Twilio inc,TWLO,"",866707.0,214155000.0,1.18756,0.3032,27,738212.0,574.506401,addition,0.5786374,Q4 2018,INFORMATION TECHNOLOGY,13F,09/30/2020,225.1925,388.65
Taiwan semiconductor manufacturing co ltd adr,TSM,"",2618632.0,212292000.0,1.17723,0.0641,28,2513677.0,2395.004526,addition,0.0504935,Q1 2018,INFORMATION TECHNOLOGY,13F,09/30/2020,79.6456,125.23
Pacific biosciences of california  inc.,PACB,"",19844780.0,195868000.0,1.08615,0.3054,29,11613288.0,141.083633,addition,10.5995342,Q3 2019,HEALTH CARE,13F,09/30/2020,7.2817,36.92
Xilinx  inc,XLNX,"",1848208.0,192657000.0,1.06835,2.2111,30,-241218.0,-11.544702,reduction,0.7539960,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,95.08,136.6
Facebook inc,FB,"",729778.0,191129000.0,1.05987,0.4162,31,559367.0,328.245829,addition,0.0303572,Q2 2019,COMMUNICATIONS,13F,09/30/2020,253.4446,251.36
Cerus corp.,CERS,"",30000071.0,187800000.0,1.04141,1.5446,32,8241636.0,37.87789,addition,17.9488552,Q4 2016,HEALTH CARE,13F,09/30/2020,5.6363,7.25
Huya inc,HUYA,"",7834947.0,187647000.0,1.04056,0.3626,33,6029393.0,333.9359,addition,3.3298046,Q1 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,22.6111,21.96
